id,name,code,title,image_display,detail,related_images,review,bestseller,trending,new,price,discount,created_at,modify_at,supplier_id,categories_id,user_created_id,user_update_id
1,việt quất,viet-quat-19,việt quất,https://product.hstatic.net/1000282430/product/viet-quat_large.jpg,"Quả việt quất là loại quả được yêu thích trên toàn thế giới không chỉ vì ngon mà còn vì loại quả này cung cấp nhiều chất dinh dưỡng cho cơ thể. Quả việt quất có thể ăn tươi, hay dùng để làm mứt, nghiền ăn kèm với kem, nước quả ép hay bánh hấp.",NULL,NULL,0,0,0,84950,NULL,NULL,NULL,1,1,1,NULL
2,QUÝT 500G,quyt-1901,QUÝT 500G,https://product.hstatic.net/1000282430/product/quyt_large.jpg,"Trái Quýt được tuyển chọn tại vườn ở Đồng Bằng Sông Cửu Long, quýt có vị ngọt thanh, vỏ căng bóng, đẹp và tươi.",NULL,NULL,0,0,0,84950,NULL,NULL,NULL,1,1,1,NULL
3,KIWI VÀNG 500G,kiwi-vang,KIWI VÀNG 500G,https://product.hstatic.net/1000282430/product/trai-kiwi-vang_large.jpg,"Kiwi Vàng là kiwi lai tạo. Kiwi vàng New Zealand có đài ở đầu quả và quả thuôn dài hơn kiwi xanh. Chúng có vỏ màu nâu vàng, trơn nhẵn, không có lông xù xì như kiwi xanh. Kiwi vàng có thịt quả màu vàng trong rất đẹp mắt, với nhiều hạt đen tạo thành 1 vòng tròn xung quanh trục dọc của quả. Kiwi vàng có vị ngọt mát rất đặc trưng. Đây là loại quả ngon số 1 thế giới, với quy trình từ trồng, chăm bón đến thu, hái, vận chuyển được chính phủ New Zealand kiểm soát rất chặt chẽ để đảm bảo quả kiwi luôn đồng đều và đủ tiêu chuẩn.",NULL,NULL,0,0,0,100000,NULL,NULL,NULL,1,1,1,NULL
4,KIWI XANH 500G,kiwi-xanh,KIWI XANH 500G,https://product.hstatic.net/1000282430/product/trai-kiwi-xanh_large.jpg,"Kiwi xanh là kiwi thuần chủng. Kiwi xanh có thịt quả màu xanh ngọc rất đẹp mắt, với nhiều hạt đen tạo thành 1 vòng tròn xung quanh trục dọc của quả. Kiwi xanh khi chín có vị rất ngọt, xanh có vị chua. Kiwi vàng vỏ trơn nhẵn và thịt quả màu vàng đẹp mắt, rất thơm ngọt khi chín.",NULL,NULL,0,0,0,74250,NULL,NULL,NULL,1,1,1,NULL
5,ỔI PHÚC LỘC THỌ 500G,oi-phuc-loc-tho,ỔI PHÚC LỘC THỌ 500G,https://product.hstatic.net/1000282430/product/oi-phuc-loc-tho_9a1f6289626b43a88da39041dd9977c3_large.jpg,NULL,NULL,NULL,0,0,0,47000,NULL,NULL,NULL,1,1,1,NULL
6,XOÀI TƯỢNG DA XANH 500G,xoai-tuong-da-xanh-66,XOÀI TƯỢNG DA XANH 500G,https://product.hstatic.net/1000282430/product/xaxaxa_be885a1a52644b5bb617e06231314207_large.jpg,NULL,NULL,NULL,0,0,0,32000,NULL,NULL,NULL,1,1,1,NULL
7,THƠM TẮC CẬU,khom-tac-cau-3575,THƠM TẮC CẬU,https://product.hstatic.net/1000282430/product/d_a_large.jpg,"Trái khóm (trái thơm) ở mỗi vùng có một đặc trưng riêng nhưng trái khóm trồng ở vùng Tắc Cậu thuộc Huyện Châu Thành, Kiên Giang được người tiêu dùng đánh giá sản phẩm khóm đạt chất lượng tốt, mang đậm đặc trưng của vùng đất miền Tây. Nhờ vào khí hậu và địa thế thuận lợi nên chất lượng trái khóm Tắc Cậu luôn ở mức cao.",NULL,NULL,0,0,0,49900,NULL,NULL,NULL,1,1,1,NULL
8,ĐU ĐỦ 1KG,du-du-1-trai-3577,ĐU ĐỦ 1KG,https://product.hstatic.net/1000282430/product/du_d__large.jpg,"Công dụng và giá trị dinh dưỡng của đu đủ. Đu đủ là trái cây tươi có nhiều dinh dưỡng và lợi ích đối với sức khỏe con người. Đu đủ là cây thân thảo to, không hoặc ít khi có nhánh, cao từ 3–10 m. Lá to hình chân vịt, cuống dài, đường kính 50–70 cm, có khoảng 7 khía. Hoa trắng hay xanh, đài nhỏ, vành to năm cánh.",NULL,NULL,0,0,0,39900,NULL,NULL,NULL,1,1,1,NULL
9,DƯA HẤU KHÔNG HẠT 3KG,dua-hau-khong-hat-2055,DƯA HẤU KHÔNG HẠT 3KG,https://product.hstatic.net/1000282430/product/seedless-watermelon-around-2.5kg-whole-fruit_23a860613aa94413aca16b9d766f6291_large.jpg,"Dưa hấu không hạt được lai tạo bằng cách dùng hai quả dưa hấu có gene khác nhau và lai với nhau, kết quả thu được là một quả dưa hấu có các tính chất khác nhưng quả dưa hấu này sẽ vô sinh và không thể sinh sản (tạo ra hạt) được. Bình thường dưa hấu có hai bộ nhiễm sắc thể. Bước đầu tiên trong việc tạo ra dưa hấu không hạt là sử dụng colchicine để nhân đôi số bộ nhiễm sắc thể trong dưa hấu từ hai lên bốn. Sau đó trồng loại dưa hấu có bốn bộ nhiễm sắc thể này xen lẫn với các cây dưa hấu bình thường. Quá trình thụ phấn xen kẽ giữa hai loại dưa hấu này sẽ tạo ra các quả dưa hấu có 3 bộ nhiễm sắc thể và không có hạt.",NULL,NULL,0,0,0,79000,NULL,NULL,NULL,1,1,1,NULL
10,BƠ BOOTH 500G,bo-cuba,BƠ BOOTH 500G,https://product.hstatic.net/1000282430/product/bo_cuba_5ef79f78fed44ff281d5e1ac27eea7a7_large.jpg,"Mô tả chung: Bơ BOOTH là một Giống bơ BOOTH là giống bơ cho năng suất cao và chất lượng ngon được ưa chuộng trên thị trường. Hiện đang được bà con trồng phổ biến ở các tỉnh Tây Nguyên.Thông tin chi tiết: Công dụng Bơ BOOTH là loại trái cây tươi có chứa rất nhiều beta-sitosterol, là một hợp chất làm giảm tỉ lệ cholesterol. Một nghiên cứu tiến hành trên 45 người đã cho thấy ăn một quả mỗi ngày sẽ giúp giảm tỉ lệ chất béo xuống khoảng 17% chỉ trong vòng một tuần. Bơ chứa rất nhiều glutathione - chất chống ôxy hóa rất quan trọng trong quá trình ngăn chặn sự lão hóa, ung thư và bệnh tim. Theo những nghiên cứu chưa chính thức bơ sáp chưa môt số chất có khả năng ngăn ngừa ung thư thận và ung thư vòm miệng Cách dùng:
Bơ thường được dùng để ăn tươi hỗ trợ giảm cân rất tốt, ngoài ra còn chế biến được nhiều món ăn vặt ngon như kem, sinh tố, thạch...
Bơ còn được dùng để nấu súp, làm sốt ăn kèm.
Phụ nữ hay dùng bơ để đắp mặt, vừa dưỡng ẩm lại trị mụn không tồi.  Bảo quản: Bảo quản nơi khô ráo, thoáng mát",NULL,NULL,0,0,0,23000,NULL,NULL,NULL,1,1,1,NULL
